ObservatoryIdentifier,ObservatoryName,LocationAddress,EnglishAddress,BasinIdentifier,CountyIdentifier,TownIdentifier,LocationXByTWD97,LocationXByTWD97,Elevation,DisuseStatus,Remarks,AgencyNameOfSite,Village,AffiliatedSubsidiaryBasin,AffiliatedSubSubsidiaryBasin,EquipementStatus,TransmissionEquipment
"01P500","阿蓮(2)","高雄市阿蓮區清蓮里中山路222號(水利會阿蓮工作站)","No.222, Zhongshan Rd., Alian Dist., Kaohsiung City","1670","14","6402300","180961.94","2530747.27","21.00","現存","","阿蓮工作站","清蓮村","","","自記式","是"
"01P660","甲仙(2)","高雄市甲仙區西安里中山路50號(甲仙區公所)","No.50, Zhongshan Rd., Jiaxian Dist., Kaohsiung City 847, Taiwan (R.O.C.)","1730","14","6403300","207754.65","2553634.12","355.00","現存","","甲仙鄉公所","西安村","173010","173011","自記式","是"
"01P770","美濃(2)","高雄市美濃區合和里美中路260號","No.260, Meizhong Rd., Meinong Dist., Kaohsiung City 843, Taiwan (R.O.C.)","1730","14","6403100","202824.67","2532508.16","61.13","現存","","美濃鎮公所","合和里","173010","173011","自記式","是"
"01Q160","新豐","高雄市茂林區茂林里12之5號","TACHI T. TAKUEI H. KAOHSIUNG H.","1730","14","6401200","214175.05","2531137.67","166.03","廢站","引用濁口溪90年右斷03","","","173010","173011","自記式","否"
"01Q250","泰武(1)","屏東縣泰武鄉泰武村(舊泰武村)","Taiwu Village, Taiwu Township, Pingtung County, Taiwan(R.O.C.)","1760","11","1001329","218680.92","2500773.88","950.00","現存","","私有","泰武村","176010","","自記式","是"
"01Q350","新來義","屏東縣來義鄉來義村72號(來義國小內社分校)","No.72, Laiyi Village, Laiyi Township, Pingtung County, Taiwan (R.O.C.)","1760","11","1001330","216925.00","2491944.00","250.00","現存","","來義國小內社分校","來義村","176010","","自記式","是"
"01Q360","南和","屏東縣來義鄉南和村南和288號(屏東警局潮洲分局南和派出所)","No.288, Nanhe, Laiyi Township, Pingtung County 922, Taiwan (R.O.C.)","1760","11","1001330","212776.50","2481718.68","140.00","現存","","屏東縣南和派出所","南和村","176010","","自記式","是"
"01Q610","古夏","屏東縣三地門鄉口社村信義巷58號(口社國小)","No.58, Xinyi Ln., Sandimen Township, Pingtung County 901, Taiwan (R.O.C.)","1730","11","1001326","213563.00","2518497.00","144.00","現存","","口社國小","口社村","173010","173011","自記式","是"
"01Q860","牡丹","屏東縣牡丹鄉牡丹村","Mudan Village, Mudan Township, Pingtung County, Taiwan (R.O.C.)","1850","11","1001333","233159.83","2453008.42","320.00","現存","","枋寮分局","牡丹村","185010","","自記式","是"
"01Q870","石門","屏東縣牡丹鄉石門村牡丹鄉公所","No.6, Shimen Rd., Mudan Township, Pingtung County 945, Taiwan (R.O.C.)","1850","11","1001333","226728.00","2447568.00","95","現存","","屏東縣牡丹鄉公所","石門村","185010","","自記式","是"
"01Q910","阿禮","屏東縣霧臺鄉阿禮村","No.1, Zhongqiu Ln., Wutai Township, Pingtung County 902, Taiwan (R.O.C.)","1730","11","1001327","225166.91","2514122.30","1158","廢站","","產業道路旁","阿禮村","173020","173022","自記式","是"
"01Q920","新瑪家","屏東縣瑪家鄉瑪家村內埔分局","No.L, Majia, Majia Village, Majia Township, Pingtung County, Taiwan(R.O.C.)","1730","11","1001328","217813.93","2508374.24","750.00","現存","","崑山派出所","瑪家村","173010","173011","自記式","是"
"01Q930","三地門","屏東縣瑪家鄉北葉村風景巷85號(瑪家鄉公所)","No.85, Fengjing, Majia Township, Pingtung County 903, Taiwan (R.O.C.)","1730","11","1001313","213966.44","2512033.42","150.00","現存","","瑪家鄉公所","北葉村","173010","173011","自記式","是"
"01R000","壽卡","屏東縣獅子鄉草埔村","Chiaopu Village, Shizi Township, Pingtung County, Taiwan(R.O.C.)","1830","11","1001332","233062.64","2460710.17","420.00","現存","","屏東縣警察局","草埔村","","","自記式","是"
"01R030","大漢山","屏東縣春日鄉力里村","Lily Village, Chunri Township, Pingtung County, Taiwan(R.O.C.)","1790","11","1001331","217389.00","2480019.00","1080.00","現存","","屏東縣林務局","力里村","","","自記式","是"
